"hanzi_sc","hanzi_trad","pinyin","pinyin_style2","level","level_zh","cc_cedict_definitions"
"迫","迫","pò","po4","5","Level 5","to force/to compel/to approach or go towards/urgent/pressing"
"惊","驚","jīng","jing1","5","Level 5","to startle/to be frightened/to be scared/alarm"
"弯","彎","wān","wan1","5","Level 5","to bend/bent/a bend; a turn (in a road etc)/CL:道[dao4]"
"幼","幼","yòu","you4","5","Level 5","young"
"恶","惡","è","e4","5","Level 5","to hate/to loathe/ashamed/to fear/to slander"
"塑","塑","sù","su4","5","Level 5","to model (a figure) in clay"
"浓","濃","nóng","nong2","5","Level 5","concentrated/dense/strong (smell etc)"
"遗","遺","yí","yi2","5","Level 5","(bound form) to leave behind"
"笨","笨","bèn","ben4","5","Level 5","stupid/foolish/silly/slow-witted/clumsy"
"延","延","yán","yan2","5","Level 5","to prolong/to extend/to delay"
"阿","阿","ā","a1","5","Level 5","(literary) to flatter; to curry favor with"
"姨","姨","yí","yi2","5","Level 5","mother's sister/aunt"
"扫","掃","sǎo","sao3","5","Level 5","broom"
"燃","燃","rán","ran2","5","Level 5","to burn/to ignite/to light/fig. to spark off (hopes)/to start (debate)/to raise (hopes)"
"途","途","tú","tu2","5","Level 5","way/route/road"
"缓","緩","huǎn","huan3","5","Level 5","slow/unhurried/sluggish/gradual/not tense/relaxed/to postpone/to defer/to stall/to stave off/to revive/to recuperate"
"谓","謂","wèi","wei4","5","Level 5","to speak/to say/to name/to designate/meaning/sense"
"尺","尺","chǐ","chi3","5","Level 5","a Chinese foot/one-third of a meter/a ruler/a tape-measure/one of the three acupoints for measuring pulse in Chinese medicine/CL:支[zhi1],把[ba3]"
"伞","繖傘","sǎn","san3","5","Level 5","umbrella/parachute"
"迟","遲","chí","chi2","5","Level 5","late/delayed/slow"
"招","招","zhāo","zhao1","5","Level 5","to recruit/to provoke/to beckon/to incur/to infect/contagious/a move (chess)/a maneuver/device/trick/to confess"
"赞","贊","zàn","zan4","5","Level 5","to patronize/to support/to praise/(Internet slang) to like (an online post on Facebook etc)"
"巴","巴","bā","ba1","5","Level 5","to long for/to wish/to cling to/to stick to/sth that sticks/close to/next to/spread open/informal abbr. for bus 巴士[ba1 shi4]/bar (unit of pressure)/nominalizing suffix on certain nouns, such as 尾巴[wei3 ba5], tail"
"寸","寸","cùn","cun4","5","Level 5","a unit of length/inch/thumb"
"智","智","zhì","zhi4","5","Level 5","(literary) wise; wisdom"
"缩","縮","suō","suo1","5","Level 5","to withdraw/to pull back/to contract/to shrink/to reduce/abbreviation/also pr. [su4]"
"矮","矮","ǎi","ai3","5","Level 5","low/short (in length)"
"孙","孫","sūn","sun1","5","Level 5","grandson/descendant"
"裹","裹","guǒ","guo3","5","Level 5","to wrap around/bundle; parcel; package/to press into service; to pressgang; to make off with (sth)"
"暑","暑","shǔ","shu3","5","Level 5","heat/hot weather/summer heat"
"瓜","瓜","guā","gua1","5","Level 5","melon/gourd/squash"
"胸","胸","xiōng","xiong1","5","Level 5","chest/bosom/heart/mind/thorax"
"寒","寒","hán","han2","5","Level 5","cold/poor/to tremble"
"抄","抄","chāo","chao1","5","Level 5","to make a copy/to plagiarize/to search and seize/to raid/to grab/to go off with/to take a shortcut/to make a turning move/to fold one's arms"
"骨","骨","gǔ","gu3","5","Level 5","bone"
"豆","豆","dòu","dou4","5","Level 5","legume; pulse; bean; pea (CL:棵[ke1],粒[li4])/stemmed sacrificial vessel"
"腐","腐","fǔ","fu3","5","Level 5","decay/rotten"
"巾","巾","jīn","jin1","5","Level 5","towel/general purpose cloth/women's headcovering (old)/Kangxi radical 50"
"耳","耳","ěr","er3","5","Level 5","ear/handle (archaeology)/and that is all (Classical Chinese)"
"咸","咸鹹","xián","xian2","5","Level 5","salted/salty/stingy/miserly"
"尾","尾","wěi","wei3","5","Level 5","horse's tail/pointed posterior section of a locust etc"
"尚","尚","shàng","shang4","5","Level 5","still/yet/to value/to esteem"
"赏","賞","shǎng","shang3","5","Level 5","to bestow (a reward)/to give (to an inferior)/to hand down/a reward (bestowed by a superior)/to appreciate (beauty)"
"劲","勁","jìn","jin4","5","Level 5","stalwart/sturdy/strong/powerful"
"辩","辯","biàn","bian4","5","Level 5","to dispute/to debate/to argue/to discuss"
"叶","葉叶","yè","ye4","5","Level 5","leaf/page/lobe/(historical) period/classifier for small boats"
"递","遞","dì","di4","5","Level 5","to hand over; to pass on; to deliver/(bound form) progressively; in the proper order"
"郎","郎","láng","lang2","5","Level 5","(arch.) minister/official/noun prefix denoting function or status/a youth"
"虫","蟲","chóng","chong2","5","Level 5","lower form of animal life, including insects, insect larvae, worms and similar creatures/CL:條|条[tiao2],隻|只[zhi1]/(fig.) person with a particular undesirable characteristic"
"亚","亞","yà","ya4","5","Level 5","second/next to/inferior/sub-/Taiwan pr. [ya3]"
"泉","泉","quán","quan2","5","Level 5","spring (small stream)/mouth of a spring/coin (archaic)"
"厘","釐","lí","li2","5","Level 5","one hundredth/centi-"
"俗","俗","sú","su2","5","Level 5","custom/convention/popular/common/coarse/vulgar/secular"
"毫","毫","háo","hao2","5","Level 5","hair/drawing brush/(in the) least/one thousandth/currency unit, 0.1 yuan"
"雷","雷","léi","lei2","5","Level 5","thunder/(bound form) (military) mine, as in 地雷[di4 lei2] land mine/(coll.) to shock; to stun; to astound/(Tw) (coll.) spoiler/(Tw) (coll.) to reveal plot details to (sb)"
"唯","唯","wéi","wei2","5","Level 5","yes"
"织","織","zhī","zhi1","5","Level 5","to weave"
"肯","肯","kěn","ken3","5","Level 5","to agree; to consent/to be willing to"
"搞","搞","gǎo","gao3","5","Level 5","to do/to make/to go in for/to set up/to get hold of/to take care of"
"控","控","kòng","kong4","5","Level 5","to control/to accuse/to charge/to sue/to invert a container to empty it/(suffix) (slang) buff/enthusiast/devotee/-phile or -philia"
"拥","擁","yōng","yong1","5","Level 5","to hold in one's arms; to embrace/to surround; to gather around/to throng; to swarm/(bound form) to support (as in 擁護|拥护[yong1 hu4])/(literary) to have; to possess/Taiwan pr. [yong3]"
"令","令","lìng","ling4","5","Level 5","to order/to command/an order/warrant/writ/to cause/to make sth happen/virtuous/honorific title/season/government position (old)/type of short song or poem"
"析","析","xī","xi1","5","Level 5","to separate/to divide/to analyze"
"杀","殺","shā","sha1","5","Level 5","to kill/to murder/to attack/to weaken or reduce/to smart (dialect)/(used after a verb) extremely"
"版","版","bǎn","ban3","5","Level 5","a register/block of printing/edition/version/page"
"键","鍵","jiàn","jian4","5","Level 5","key (on a piano or computer keyboard)/button (on a mouse or other device)/chemical bond/linchpin"
"筑","筑築","zhù","zhu4","5","Level 5","to build/to construct/to ram/to hit/Taiwan pr. [zhu2]"
"弃","棄","qì","qi4","5","Level 5","to abandon/to relinquish/to discard/to throw away"
"执","執","zhí","zhi2","5","Level 5","to execute (a plan)/to grasp"
"恢","恢","huī","hui1","5","Level 5","to restore/to recover/great"
"秒","秒","miǎo","miao3","5","Level 5","second (unit of time)/arc second (angular measurement unit)/(coll.) instantly"
"竞","競","jìng","jing4","5","Level 5","to compete/to contend/to struggle"
"冠","冠","guān","guan1","5","Level 5","to put on a hat/to be first/to dub"
"军","軍","jūn","jun1","5","Level 5","(bound form) army/military"
"抢","搶","qiǎng","qiang3","5","Level 5","to fight over/to rush/to scramble/to grab/to rob/to snatch"
"旦","旦","dàn","dan4","5","Level 5","(literary) dawn; daybreak/dan, female role in Chinese opera (traditionally played by specialized male actors)"
"幅","幅","fú","fu2","5","Level 5","width/roll/classifier for textiles or pictures"
"拒","拒","jù","ju4","5","Level 5","to resist/to repel/to refuse"
"央","央","yāng","yang1","5","Level 5","center/end/to beg/to plead"
"辑","輯","jí","ji2","5","Level 5","to gather up/to collect/to edit/to compile"
"协","協","xié","xie2","5","Level 5","to cooperate/to harmonize/to help/to assist/to join"
"估","估","gū","gu1","5","Level 5","used in 估衣[gu4 yi5]"
"颗","顆","kē","ke1","5","Level 5","classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc"
"陪","陪","péi","pei2","5","Level 5","to accompany/to keep sb company/to assist"
"摄","攝","shè","she4","5","Level 5","(bound form) to take in; to absorb; to assimilate/to take (a photo)/(literary) to conserve (one's health)/(literary) to act for"
"掌","掌","zhǎng","zhang3","5","Level 5","palm of the hand/sole of the foot/paw/horseshoe/to slap/to hold in one's hand/to wield"
"龄","齡","líng","ling2","5","Level 5","age/length of experience, membership etc"
"域","域","yù","yu4","5","Level 5","field/region/area/domain (taxonomy)"
"触","觸","chù","chu4","5","Level 5","to touch/to make contact with sth/to stir up sb's emotions"
"邀","邀","yāo","yao1","5","Level 5","to invite/to request/to intercept/to solicit/to seek"
"俱","俱","jù","ju4","5","Level 5","(literary) all; both; entirely; without exception/(literary) to be together/(literary) to be alike"
"损","損","sǔn","sun3","5","Level 5","to decrease; to lose/to damage; to harm/(coll.) to ridicule; to deride/(coll.) caustic; sarcastic; nasty; mean/one of the 64 hexagrams of the Book of Changes: ䷨"
"悉","悉","xī","xi1","5","Level 5","in all cases/know"
"枪","槍","qiāng","qiang1","5","Level 5","rifle/spear"
"击","擊","jī","ji1","5","Level 5","to hit/to strike/to break/Taiwan pr. [ji2]"
"忆","憶","yì","yi4","5","Level 5","to recollect/to remember/memory"
"册","冊","cè","ce4","5","Level 5","book/booklet/classifier for books"
"启","啟","qǐ","qi3","5","Level 5","to open/to start/to initiate/to enlighten or awaken/to state/to inform"
"贷","貸","dài","dai4","5","Level 5","to lend on interest/to borrow/a loan/leniency/to make excuses/to pardon/to forgive"
"款","款","kuǎn","kuan3","5","Level 5","section/paragraph/funds/CL:筆|笔[bi3],個|个[ge4]/classifier for versions or models (of a product)"
"尊","尊","zūn","zun1","5","Level 5","senior/of a senior generation/to honor/to respect/honorific/classifier for cannons and statues/ancient wine vessel"
"革","革","gé","ge2","5","Level 5","animal hide/leather/to reform/to remove/to expel (from office)"
"剩","剩","shèng","sheng4","5","Level 5","to remain/to be left/to have as remainder"
"尤","尤","yóu","you2","5","Level 5","outstanding/particularly, especially/a fault/to express discontentment against"
"届","屆","jiè","jie4","5","Level 5","to arrive at (place or time)/period/to become due/classifier for events, meetings, elections, sporting fixtures, years (of graduation)"
"偷","偷","tōu","tou1","5","Level 5","to steal/to pilfer/to snatch/thief/stealthily"
"乏","乏","fá","fa2","5","Level 5","short of/tired"
"呆","呆","dāi","dai1","5","Level 5","foolish/stupid/expressionless/blank/to stay"
"鼓","鼓","gǔ","gu3","5","Level 5","drum/CL:通[tong4],面[mian4]/to drum/to strike/to rouse/to bulge/to swell"
"励","勵","lì","li4","5","Level 5","to encourage/to urge"
"甲","甲","jiǎ","jia3","5","Level 5","first of the ten Heavenly Stems 十天干[shi2 tian1 gan1]/(used for an unspecified person or thing)/first (in a list, as a party to a contract etc)/letter ""A"" or roman ""I"" in list ""A, B, C"", or ""I, II, III"" etc/armor plating/shell or carapace/(of the fingers or toes) nail/bladed leather or metal armor (old)/ranking system used in the Imperial examinations (old)/civil administration unit in the baojia 保甲[bao3 jia3] system (old)/ancient Chinese compass point: 75°"
"频","頻","pín","pin2","5","Level 5","frequency/frequently/repetitious"
"肤","膚","fū","fu1","5","Level 5","skin"
"棒","棒","bàng","bang4","5","Level 5","stick/club/cudgel/smart/capable/strong/wonderful/classifier for legs of a relay race"
"疯","瘋","fēng","feng1","5","Level 5","insane/mad/wild"
"狂","狂","kuáng","kuang2","5","Level 5","mad/wild/violent"
"矛","矛","máo","mao2","5","Level 5","spear/lance/pike"
"盾","盾","dùn","dun4","5","Level 5","shield/(currency) Vietnamese dong/currency unit of several countries (Indonesian rupiah, Dutch gulden etc)"
"丢","丟","diū","diu1","5","Level 5","to lose/to put aside/to throw"
"仔","仔","zǎi","zai3","5","Level 5","meticulous/(of domestic animals or fowls) young"
"暂","暫蹔","zàn","zan4","5","Level 5","temporary"
"惜","惜","xī","xi1","5","Level 5","to cherish/to begrudge/to pity/Taiwan pr. [xi2]"
"签","籤籖簽","qiān","qian1","5","Level 5","inscribed bamboo stick (used in divination, gambling, drawing lots etc)/small wood sliver/label/tag"
"傻","傻","shǎ","sha3","5","Level 5","foolish"
"欣","欣","xīn","xin1","5","Level 5","happy"
"射","射","shè","she4","5","Level 5","to shoot/to launch/to allude to/radio- (chemistry)"
"凭","憑","píng","ping2","5","Level 5","to lean against/to rely on/on the basis of/no matter (how, what etc)/proof"
"详","詳","xiáng","xiang2","5","Level 5","detailed/comprehensive"
"洞","洞","dòng","dong4","5","Level 5","cave/hole/zero (unambiguous spoken form when spelling out numbers)/CL:個|个[ge4]"
"撞","撞","zhuàng","zhuang4","5","Level 5","to knock against/to bump into/to run into/to meet by accident"
"骗","騙","piàn","pian4","5","Level 5","to cheat/to swindle/to deceive/to get on (a horse etc) by swinging one leg over"
"吓","嚇","xià","xia4","5","Level 5","to frighten/to scare"
"曲","曲麴","qū","qu1","5","Level 5","yeast/Aspergillus (includes many common molds)/Taiwan pr. [qu2]"
"鬼","鬼","guǐ","gui3","5","Level 5","disembodied spirit; ghost; devil/(suffix) person with a certain vice or addiction etc/sly; crafty; resourceful/one of the 28 constellations of ancient Chinese astronomy"
"库","庫","kù","ku4","5","Level 5","warehouse/storehouse/(file) library"
"玻","玻","bō","bo1","5","Level 5","glass"
"贸","貿","mào","mao4","5","Level 5","commerce/trade"
"吨","噸","dūn","dun1","5","Level 5","ton (loanword)/Taiwan pr. [dun4]"
"逃","逃","táo","tao2","5","Level 5","to escape/to run away/to flee"
"聪","聰","cōng","cong1","5","Level 5","(literary) acute (of hearing)/(bound form) clever; intelligent; sharp"
"毒","毒","dú","du2","5","Level 5","poison/to poison/poisonous/malicious/cruel/fierce/narcotics"
"彼","彼","bǐ","bi3","5","Level 5","that/those/(one) another"
"沟","溝","gōu","gou1","5","Level 5","ditch/gutter/groove/gully/ravine/CL:道[dao4]"
"润","潤","rùn","run4","5","Level 5","moist; glossy; sleek/to moisten; to lubricate/to embellish; to enhance/profit; remuneration/(neologism c. 2021) (slang) (loanword from ""run"") to emigrate (in order to flee adverse conditions)"
"欠","欠","qiàn","qian4","5","Level 5","to owe/to lack/(literary) to be deficient in/(bound form) yawn/to raise slightly (a part of one's body)"
"漫","漫","màn","man4","5","Level 5","free/unrestrained/to inundate"
"厉","厲","lì","li4","5","Level 5","strict/severe"
"私","私","sī","si1","5","Level 5","personal/private/selfish"
"硬","硬","yìng","ying4","5","Level 5","hard; stiff; solid/(fig.) strong; firm/resolutely; uncompromisingly/laboriously; with great difficulty/good (quality); able (person)/(of food) filling; substantial"
"恨","恨","hèn","hen4","5","Level 5","to hate/to regret"
"搜","搜","sōu","sou1","5","Level 5","to search"
"索","索","suǒ","suo3","5","Level 5","to search/to demand/to ask/to exact/large rope/isolated"
"劳","勞","láo","lao2","5","Level 5","to toil/labor/laborer/to put sb to trouble (of doing sth)/meritorious deed/to console (Taiwan pr. [lao4] for this sense)"
"稍","稍","shāo","shao1","5","Level 5","a little; slight"
"违","違","wéi","wei2","5","Level 5","to disobey/to violate/to separate/to go against"
"拼","拼","pīn","pin1","5","Level 5","to piece together/to join together/to stake all/adventurous/at the risk of one's life/to spell"
"怜","憐","lián","lian2","5","Level 5","to pity"
"吐","吐","tǔ","tu3","5","Level 5","to vomit/to throw up"
"厅","廳","tīng","ting1","5","Level 5","(reception) hall/living room/office/provincial government department"
"堆","堆","duī","dui1","5","Level 5","to pile up/to heap up/a mass/pile/heap/stack/large amount"
"扔","扔","rēng","reng1","5","Level 5","to throw/to throw away"
"滑","滑","huá","hua2","5","Level 5","to slip; to slide/slippery; smooth/sly; slippery; not to be trusted"
"污","污","wū","wu1","5","Level 5","dirty/filthy/foul/corrupt/to smear/to defile/dirt/filth"
"染","染","rǎn","ran3","5","Level 5","to dye/to catch (a disease)/to acquire (bad habits etc)/to contaminate/to add color washes to a painting"
"恋","戀","liàn","lian4","5","Level 5","to feel attached to/to long for/to love"
"辛","辛","xīn","xin1","5","Level 5","(of taste) hot or pungent/hard/laborious/suffering/eighth in order/eighth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]/letter ""H"" or Roman ""VIII"" in list ""A, B, C"", or ""I, II, III"" etc/ancient Chinese compass point: 285°/octa"
"躲","躲","duǒ","duo3","5","Level 5","to hide/to dodge/to avoid"
"涨","漲","zhǎng","zhang3","5","Level 5","to swell/to distend"
"弹","彈","dàn","dan4","5","Level 5","to pluck (a string)/to play (a string instrument)/to spring or leap/to shoot (e.g. with a catapult)/(of cotton) to fluff or tease/to flick/to flip/to accuse/to impeach/elastic (of materials)"
"返","返","fǎn","fan3","5","Level 5","to return (to)"
"驾","駕","jià","jia4","5","Level 5","to harness/to draw (a cart etc)/to drive/to pilot/to sail/to ride/your good self/prefixed word denoting respect (polite 敬辭|敬辞[jing4 ci2])"
"驶","駛","shǐ","shi3","5","Level 5","(of a vehicle, horse etc) to go fast; to speed/(of a vehicle) to run; to go/(of a boat) to sail"
"虎","虎","hǔ","hu3","5","Level 5","tiger/CL:隻|只[zhi1]"
"瘦","瘦","shòu","shou4","5","Level 5","thin/to lose weight/(of clothing) tight/(of meat) lean/(of land) unproductive"
"猜","猜","cāi","cai1","5","Level 5","to guess"
"厨","廚","chú","chu2","5","Level 5","kitchen"
"询","詢","xún","xun2","5","Level 5","to ask about/to inquire about"
"挤","擠","jǐ","ji3","5","Level 5","to crowd in/to cram in/to force others aside/to press/to squeeze/to find (time in one's busy schedule)"
"宿","宿","sù","su4","5","Level 5","constellation"
"舍","舍捨","shě","she3","5","Level 5","residence"
"碎","碎","suì","sui4","5","Level 5","(transitive or intransitive verb) to break into pieces; to shatter; to crumble/broken; fragmentary; scattered/garrulous"
"辈","輩","bèi","bei4","5","Level 5","lifetime/generation/group of people/class/classifier for generations/(literary) classifier for people"
"委","委","wěi","wei3","5","Level 5","to entrust/to cast aside/to shift (blame etc)/to accumulate/roundabout/winding/dejected/listless/committee member/council/end/actually/certainly"
"托","托託","tuō","tuo1","5","Level 5","to trust/to entrust/to be entrusted with/to act as trustee"
"盒","盒","hé","he2","5","Level 5","small box/case"
"赔","賠","péi","pei2","5","Level 5","to compensate for loss/to indemnify/to suffer a financial loss"
"偿","償","cháng","chang2","5","Level 5","to repay/to compensate for/to recompense/to fulfill (hopes etc)"
"敏","敏","mǐn","min3","5","Level 5","quick; nimble; agile/quick-witted; smart"
"厌","厭","yàn","yan4","5","Level 5","(bound form) to loathe; to be fed up with/(literary) to satiate; to satisfy"
"劝","勸","quàn","quan4","5","Level 5","to advise/to urge/to try to persuade/to exhort/to console/to soothe"
"艰","艱","jiān","jian1","5","Level 5","difficult/hard/hardship"
"烂","爛","làn","lan4","5","Level 5","soft; mushy/well-cooked and soft/to rot; to decompose/rotten/worn out/chaotic; messy/utterly; thoroughly/crappy; bad"
"肃","肅","sù","su4","5","Level 5","respectful/solemn/to eliminate/to clean up"
"悔","悔","huǐ","hui3","5","Level 5","(bound form) to regret; to repent"
"滚","滾","gǔn","gun3","5","Level 5","to boil/to roll/to take a hike/Get lost!"
"熊","熊","xióng","xiong2","5","Level 5","bear/(coll.) to scold; to rebuke/(coll.) weak; incapable"
"绕","繞","rào","rao4","5","Level 5","to rotate around/to spiral/to move around/to go round (an obstacle)/to by-pass/to make a detour"
"饰","飾","shì","shi4","5","Level 5","decoration/ornament/to decorate/to adorn/to hide/to conceal (a fault)/excuse (to hide a fault)/to play a role (in opera)/to impersonate"
"忍","忍","rěn","ren3","5","Level 5","to bear/to endure/to tolerate/to restrain oneself"
"扮","扮","bàn","ban4","5","Level 5","to disguise oneself as/to dress up/to play (a role)/to put on (an expression)"
"泛","泛","fàn","fan4","5","Level 5","(bound form) general/non-specific/extensive/pan-/to flood/(literary) to float about/to be suffused with (a color, emotion, odor etc)"
"拆","拆","chāi","chai1","5","Level 5","to tear open/to tear down/to tear apart/to open"
"饮","飲","yǐn","yin3","5","Level 5","to give (animals) water to drink"
"醉","醉","zuì","zui4","5","Level 5","intoxicated"
"裁","裁","cái","cai2","5","Level 5","to cut out (as a dress)/to cut/to trim/to reduce/to diminish/to cut back (e.g. on staff)/decision/judgment"
"偶","偶","ǒu","ou3","5","Level 5","accidental/image/pair/mate"
"尔","爾","ěr","er3","5","Level 5","thus/so/like that/you/thou"
"怨","怨","yuàn","yuan4","5","Level 5","to blame/(bound form) resentment; hatred; grudge"
"慰","慰","wèi","wei4","5","Level 5","to comfort/to console/to reassure"
"蔬","蔬","shū","shu1","5","Level 5","vegetables"
"遵","遵","zūn","zun1","5","Level 5","to observe/to obey/to follow/to comply with"
"震","震","zhèn","zhen4","5","Level 5","to shake/to vibrate/to jolt/to quake/excited/shocked/one of the Eight Trigrams 八卦[ba1 gua4], symbolizing thunder/☳"
"锅","鍋","guō","guo1","5","Level 5","pot; pan; wok; cauldron/pot-shaped thing/CL:口[kou3],隻|只[zhi1]"
"惠","惠","huì","hui4","5","Level 5","(bound form) act of kindness (from a superior)/(honorific prefix) kind (as in 惠顧|惠顾[hui4 gu4])"
"扇","扇","shàn","shan4","5","Level 5","fan/sliding, hinged or detachable flat part of sth/classifier for doors, windows etc"
"摔","摔","shuāi","shuai1","5","Level 5","to throw down/to fall/to drop and break"
"敲","敲","qiāo","qiao1","5","Level 5","to hit/to strike/to tap/to rap/to knock/to rip sb off/to overcharge"
"谊","誼","yì","yi4","5","Level 5","friendship/also pr. [yi2]"
"闲","閑閒","xián","xian2","5","Level 5","idle/unoccupied/leisure"
"抬","抬","tái","tai2","5","Level 5","to lift/to raise/(of two or more persons) to carry"
"辞","辭","cí","ci2","5","Level 5","to resign/to dismiss/to decline/to take leave/ballad (archaic poetic genre)"
"耐","耐","nài","nai4","5","Level 5","(bound form) to bear; to endure; to withstand"
"鼻","鼻","bí","bi2","5","Level 5","nose"
"拾","拾","shí","shi2","5","Level 5","to pick up/to collate or arrange/ten (banker's anti-fraud numeral)"
"瞧","瞧","qiáo","qiao2","5","Level 5","to look at/to see/to see (a doctor)/to visit"
"诊","診","zhěn","zhen3","5","Level 5","to examine or treat medically"
"宾","賓","bīn","bin1","5","Level 5","visitor/guest/object (in grammar)"
"臭","臭","chòu","chou4","5","Level 5","sense of smell/smell bad"
"池","池","chí","chi2","5","Level 5","pond/reservoir/moat"
"挣","掙","zhēng","zheng1","5","Level 5","to struggle to get free/to strive to acquire/to make (money)"
"蛇","蛇","shé","she2","5","Level 5","snake/serpent/CL:條|条[tiao2]"
"脆","脆","cuì","cui4","5","Level 5","brittle/fragile/crisp/crunchy/clear and loud voice/neat"
"紫","紫","zǐ","zi3","5","Level 5","purple/violet"
"悲","悲","bēi","bei1","5","Level 5","sad/sadness/sorrow/grief"
"奈","奈","nài","nai4","5","Level 5","used in expressions that convey frustration and futility, such as 无~[wu2 nai4](literary)/used for its phonetic value in writing foreign words"
"拔","拔","bá","ba2","5","Level 5","to pull up/to pull out/to draw out by suction/to select/to pick/to stand out (above level)/to surpass/to seize"
"糟","糟","zāo","zao1","5","Level 5","dregs/draff/pickled in wine/rotten/messy/ruined"
"肌","肌","jī","ji1","5","Level 5","(bound form) flesh; muscle"
"胃","胃","wèi","wei4","5","Level 5","stomach"
"剪","剪","jiǎn","jian3","5","Level 5","scissors/shears/clippers/to cut with scissors/to trim/to wipe out or exterminate"
"胆","膽","dǎn","dan3","5","Level 5","gall bladder/courage/guts/gall/inner container (e.g. bladder of a football, inner container of a thermos)"
"喷","噴","pēn","pen1","5","Level 5","(of a smell) strong/peak season (of a crop)/(classifier for the ordinal number of a crop, in the context of multiple harvests)"
"匹","匹","pǐ","pi3","5","Level 5","to match; to be equal/classifier for cloth: bolt"
"傅","傅","fù","fu4","5","Level 5","(bound form) instructor/(literary) to instruct/to attach/to apply (makeup etc)"
"琴","琴","qín","qin2","5","Level 5","guqin or zither"
"卧","臥","wò","wo4","5","Level 5","to lie/to crouch"
"肩","肩","jiān","jian1","5","Level 5","shoulder/to shoulder (responsibilities etc)"
"贺","賀","hè","he4","5","Level 5","to congratulate"
"脾","脾","pí","pi2","5","Level 5","spleen"
"汗","汗","hàn","han4","5","Level 5","perspiration/sweat/to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection)"
"幽","幽","yōu","you1","5","Level 5","remote/hidden away/secluded/serene/peaceful/to imprison/in superstition indicates the underworld/ancient district spanning Liaonang and Hebei provinces"
"览","覽","lǎn","lan3","5","Level 5","to look at/to view/to read"
"冻","凍","dòng","dong4","5","Level 5","to freeze/to feel very cold/aspic or jelly"
"献","獻","xiàn","xian4","5","Level 5","to offer/to present/to dedicate/to donate/to show/to put on display/worthy person (old)"
"逻","邏","luó","luo2","5","Level 5","patrol"
"摩","摩","mó","mo2","5","Level 5","to rub"
"鼠","鼠","shǔ","shu3","5","Level 5","(bound form) rat; mouse"
"扰","擾","rǎo","rao3","5","Level 5","to disturb"
"仿","彷仿","fǎng","fang3","5","Level 5","seemingly"
"扶","扶","fú","fu2","5","Level 5","to support with the hand/to help sb up/to support oneself by holding onto something/to help"
"漏","漏","lòu","lou4","5","Level 5","to leak/to divulge/to leave out by mistake/waterclock or hourglass (old)"
"戒","戒","jiè","jie4","5","Level 5","to guard against/to exhort/to admonish or warn/to give up or stop doing sth/Buddhist monastic discipline/ring (for a finger)"
"豪","豪","háo","hao2","5","Level 5","grand/heroic"
"敬","敬","jìng","jing4","5","Level 5","(bound form) respectful; to respect/to offer politely"
"钢","鋼","gāng","gang1","5","Level 5","steel"
"丑","丑醜","chǒu","chou3","5","Level 5","shameful/ugly/disgraceful"
"眠","眠","mián","mian2","5","Level 5","to sleep/to hibernate"
"摘","摘","zhāi","zhai1","5","Level 5","to take; to pick (flowers, fruit etc); to pluck; to remove; to take off (glasses, hat etc)/to select; to pick out/to borrow money at a time of urgent need"
"糊","餬糊","hú","hu2","5","Level 5","congee"
"闯","闖","chuǎng","chuang3","5","Level 5","to rush/to charge/to dash/to break through/to temper oneself (through battling hardships)"
"犹","猶","yóu","you2","5","Level 5","as if/(just) like/just as/still/yet"
"豫","豫","yù","yu4","5","Level 5","happy/carefree/at one's ease"
"乙","乙","yǐ","yi3","5","Level 5","turning stroke (in Chinese characters), aka 折[zhe2]"
"煤","煤","méi","mei2","5","Level 5","coal"
"饼","餅","bǐng","bing3","5","Level 5","round flat cake/cookie/cake/pastry/CL:張|张[zhang1]"
"伸","伸","shēn","shen1","5","Level 5","to stretch/to extend"
"悄","悄","qiāo","qiao1","5","Level 5","quiet/sad"
"繁","繁","fán","fan2","5","Level 5","complicated/many/in great numbers/abbr. for 繁體|繁体[fan2 ti3], traditional form of Chinese characters"
"岸","岸","àn","an4","5","Level 5","bank; shore; beach; coast/CL:個|个[ge4]"
"荣","榮","róng","rong2","5","Level 5","glory/honor/thriving"
"铃","鈴","líng","ling2","5","Level 5","(small) bell/CL:隻|只[zhi1]"
"盆","盆","pén","pen2","5","Level 5","basin/flower pot/unit of volume equal to 12 斗[dou3] and 8 升[sheng1], approx 128 liters/CL:個|个[ge4]"
"兔","兔","tù","tu4","5","Level 5","rabbit"
"斜","斜","xié","xie2","5","Level 5","inclined/slanting/oblique/tilting"
"硕","碩","shuò","shuo4","5","Level 5","large/big"
"赠","贈","zèng","zeng4","5","Level 5","to give as a present/to repel/to bestow an honorary title after death (old)"
"愁","愁","chóu","chou2","5","Level 5","to worry about"
"漠","漠","mò","mo4","5","Level 5","desert/unconcerned"
"壁","壁","bì","bi4","5","Level 5","wall/rampart"
"核","核","hé","he2","5","Level 5","seed/core/nucleus/to investigate"
"灰","灰","huī","hui1","5","Level 5","ash/dust/lime/gray/discouraged; dejected"
"披","披","pī","pi1","5","Level 5","to drape over one's shoulders/to open/to unroll/to split open/to spread out"
"桃","桃","táo","tao2","5","Level 5","peach"
"幕","幕幙","mù","mu4","5","Level 5","curtain/screen"
